-14944	2256	2352	126422	98446
-15024	2256	2400	126576	98455
-15088	2304	2416	126561	98450
-15136	2240	2304	126564	98436
-15008	2368	2368	126533	98366
-14928	2416	2672	126293	98381
-15424	2208	2688	126210	98406
-15312	2048	2672	126365	98447
-14864	2208	3056	126422	98472
-14864	2352	2560	126432	98401
-15200	2256	2048	126425	98461
-15312	2032	2064	126426	98425
-15232	2048	2016	126339	98415
-14896	2176	2672	126447	98417
-15072	2304	2256	126427	98397
-15024	2288	2144	126447	98501
-15104	2160	2000	126418	98458
-14992	2192	2304	126547	98456
-14992	2240	2320	126446	98337
-14928	2304	2176	126235	98366
-15152	2096	2432	126140	98349
-15200	2112	2624	126353	98380
-15200	2256	1888	126389	98364
-15104	2272	1824	126422	98305
-14992	2304	2288	126402	98375
-15168	2336	2160	126345	98338
-15232	2240	1936	126316	98331
-15168	2112	2416	126352	98428
-15024	2288	2352	126324	98394
-14928	2176	2064	126488	98409
-14976	2176	2064	126401	98432
-15008	2336	2432	126437	98392
-15312	2256	2224	126362	98307
-15360	2048	2272	126237	98252
-15104	2096	2208	126166	98272
-14928	1952	1840	126277	98299
-14720	2032	2176	126302	98284
-14752	2432	1936	126341	98401
-15008	2528	2576	126347	98342
-15344	2432	3408	126271	98300
-15296	2336	3648	126291	98252
-14624	2176	2912	126314	98303
-14672	2048	1744	126288	98364
-14640	2208	1824	126427	98347
-15264	2432	1472	126449	98297
-15792	2416	2672	126407	98305
-15568	2304	3472	126346	98236
-14928	2128	2848	126119	98182
-15408	2016	2240	125973	98168
-15488	2224	1744	126002	98105
-15184	2368	2000	126106	98130
-14832	2384	2352	126164	98128
-14944	2256	2432	126144	98169
-15280	2000	2208	126043	98156
-15104	2048	2000	126139	98142
-14752	2304	2464	126117	98126
-14880	2400	2656	126206	98162
-14960	2384	2608	126218	98192
-15152	2112	1744	126202	98214
-15264	2176	2448	126188	98170
-15056	2304	2704	126191	98173
-15056	2320	2320	126170	98110
-15344	2224	2032	126152	98135
-15040	2320	2560	125973	98051
-15008	2336	2240	125859	98047
-15232	1888	1744	125847	98040
-15168	2000	2096	125955	98066
-15056	2176	2320	126027	98060
-15168	2176	2160	126013	98024
-15216	2272	2352	125994	98081
-15184	2272	2272	126058	98034
-14880	2192	2544	126004	98039
-14960	2160	2064	125993	98082
-15104	2224	2320	125965	98081
-15312	2192	2352	125993	98092
-15168	2208	2032	126011	98117
-14960	2192	2192	126024	98050
-14896	2176	2304	126025	98100
-14912	2368	2336	126155	98089
-15104	2272	2208	126133	98066
-15392	2160	2144	126112	98151
-15264	2176	2752	126027	98012
-15040	2304	2512	125751	97973
-14864	2256	2400	125716	97979
-15152	2080	2240	125931	98022
-15296	2096	2176	125912	98000
-15280	2256	2560	125926	97953
-14976	2240	2640	125910	98011
-14720	2432	3088	125936	97939
-14864	2256	2944	125912	97988
-15232	2032	2384	125932	98011
-15168	2160	2320	125894	98017
-15040	2304	2576	125957	98052
-14848	2176	2320	125941	98033
-15072	2160	2336	126054	98032
-15168	2224	2496	126009	98008
-15136	2160	2256	126091	97979
-15168	2096	2032	126030	97965
-15248	2032	1936	125991	97936
-15088	2384	1968	125800	97872
-15088	2128	2000	125682	97916
-15056	2000	2880	125677	97928
-15136	2112	1872	125849	97977
-15040	2208	2080	125790	97954
-14992	2384	2592	125886	97974
-15008	2288	2368	125826	97919
-15280	2176	2224	125889	97885
-15408	2048	1744	125857	97905
-15088	2144	2352	125861	97969
-14928	2368	2256	125886	97938
-15008	2352	1920	125913	97945
-15088	2320	2448	125973	97988
-15248	2176	2272	125919	97960
-14928	2272	2848	125981	97922
-15136	2224	2192	126051	97993
-15136	2128	2128	125990	97967
-15088	2256	1904	126055	97920
-15040	2256	2016	125924	97877
-15248	2128	2176	125723	97848
-15200	2096	2064	125771	97842
-15136	2240	2144	125825	97912
-15072	2448	2272	125809	97925
-14784	2336	2416	125944	97964
-15088	2288	2176	125818	97835
-15216	2128	2096	125693	97803
-15120	2032	2064	125707	97885
-14976	2256	2256	125829	97879
-14944	2208	2272	125896	97901
-14960	2208	2272	125940	97870
-15232	2224	1488	125897	97894
-15184	2240	2064	125871	97840
-15008	2192	2048	125941	97900
-14944	2272	2208	125966	97918
-14896	2176	2800	125900	97920
-15120	2224	2208	126060	97902
-15200	2240	2464	126034	97903
-15184	2112	2384	126007	97913
-15232	2240	2224	126022	97975
-15008	2240	2496	126002	97872
-15120	2272	2352	125775	97813
-15088	2208	2272	125679	97818
-14976	2272	1920	125850	97851
-15104	2336	2192	125910	97862
-15184	2208	2080	125897	97879
-14944	2272	2448	125958	97830
-15184	2192	2512	125909	97898
-15136	2144	2384	125852	97858
-15072	2304	2448	125865	97851
-14912	2416	2000	125854	97832
-15008	2256	2144	125867	97886
-15136	2320	2224	126019	97872
-15168	2432	2544	125987	97884
-14704	2336	2624	126015	97832
-14960	2208	1984	125966	97766
-15168	2176	1680	125711	97773
-15296	2208	1968	125676	97720
-15248	2240	1808	125725	97758
-15280	2208	1232	125823	97855
-15040	2272	1632	125817	97829
-15024	2192	1760	125779	97811
-15088	2352	2272	125842	97793
-15248	2176	1760	125782	97801
-15072	2272	1744	125811	97771
